Date,Vehicle_Type,Total,Breakdowns,Availability_Pct
Monday Utility Section 02-03-2026,Maverick Double cab,9,1,88.9
Monday Utility Section 02-03-2026,Toyota Landcruiser Minespec,33,3,90.9
Monday Utility Section 02-03-2026,Toyota Landcruiser,2,0,100.0
Monday Utility Section 02-03-2026,Toyota Hilux,2,1,50.0
Monday Utility Section 02-03-2026,Maverick Man lift,4,2,50.0
Monday Utility Section 02-03-2026,Placer dumper,1,0,100.0
Monday Utility Section 02-03-2026,Maverick king Cab c/w Crane,3,1,66.7
Monday Utility Section 02-03-2026,Maverick Single cab Jam Pot,1,0,100.0
Monday Utility Section 02-03-2026,Bird Machine,1,0,100.0
Monday Utility Section 02-03-2026,Bob Cat,2,0,100.0
Monday Utility Section 02-03-2026,Maverick King Cab NO Crane,2,0,100.0
Monday Utility Section 02-03-2026,ROROs,5,1,80.0
Monday Utility Section 02-03-2026,Maverick tropper,1,0,100.0
Monday Utility Section 02-03-2026,TOTAL,66,9,86.4
Tuesday Utility Section 03-03-2026,Maverick Double cab,9,2,77.8
Tuesday Utility Section 03-03-2026,Toyota Landcruiser Minespec,33,4,87.9
Tuesday Utility Section 03-03-2026,Toyota Landcruiser,2,0,100.0
Tuesday Utility Section 03-03-2026,Toyota Hilux,2,1,50.0
Tuesday Utility Section 03-03-2026,Maverick Man lift,4,2,50.0
Tuesday Utility Section 03-03-2026,Placer dumper,1,0,100.0
Tuesday Utility Section 03-03-2026,Maverick king Cab c/w Crane,3,0,100.0
Tuesday Utility Section 03-03-2026,Maverick Single cab Jam Pot,1,0,100.0
Tuesday Utility Section 03-03-2026,Bird Machine,1,0,100.0
Tuesday Utility Section 03-03-2026,Bob Cat,2,0,100.0
Tuesday Utility Section 03-03-2026,Maverick King Cab NO Crane,2,0,100.0
Tuesday Utility Section 03-03-2026,ROROs,5,2,60.0
Tuesday Utility Section 03-03-2026,Maverick tropper,1,0,100.0
Tuesday Utility Section 03-03-2026,TOTAL,66,11,83.3
Wednesday Utility Section 04-03-2026,Maverick Double cab,9,2,77.8
Wednesday Utility Section 04-03-2026,Toyota Landcruiser Minespec,33,4,87.9
Wednesday Utility Section 04-03-2026,Toyota Landcruiser,2,0,100.0
Wednesday Utility Section 04-03-2026,Toyota Hilux,2,1,50.0
Wednesday Utility Section 04-03-2026,Maverick Man lift,4,2,50.0
Wednesday Utility Section 04-03-2026,Placer dumper,1,0,100.0
Wednesday Utility Section 04-03-2026,Maverick king Cab c/w Crane,3,0,100.0
Wednesday Utility Section 04-03-2026,Maverick Single cab Jam Pot,1,0,100.0
Wednesday Utility Section 04-03-2026,Bird Machine,1,0,100.0
Wednesday Utility Section 04-03-2026,Bob Cat,2,0,100.0
Wednesday Utility Section 04-03-2026,Maverick King Cab NO Crane,2,0,100.0
Wednesday Utility Section 04-03-2026,ROROs,5,3,40.0
Wednesday Utility Section 04-03-2026,Maverick tropper,1,0,100.0
Wednesday Utility Section 04-03-2026,TOTAL,66,12,81.8
Thursday Utility Section 05-03-2026,Maverick Double cab,9,2,77.8
Thursday Utility Section 05-03-2026,Toyota Landcruiser Minespec,33,6,81.8
Thursday Utility Section 05-03-2026,Toyota Landcruiser,2,0,100.0
Thursday Utility Section 05-03-2026,Toyota Hilux,2,1,50.0
Thursday Utility Section 05-03-2026,Maverick Man lift,4,1,75.0
Thursday Utility Section 05-03-2026,Placer dumper,1,0,100.0
Thursday Utility Section 05-03-2026,Maverick king Cab c/w Crane,3,0,100.0
Thursday Utility Section 05-03-2026,Maverick Single cab Jam Pot,1,0,100.0
Thursday Utility Section 05-03-2026,Bird Machine,1,0,100.0
Thursday Utility Section 05-03-2026,Bob Cat,2,0,100.0
Thursday Utility Section 05-03-2026,Maverick King Cab NO Crane,2,0,100.0
Thursday Utility Section 05-03-2026,ROROs,5,1,80.0
Thursday Utility Section 05-03-2026,Maverick tropper,1,0,100.0
Thursday Utility Section 05-03-2026,TOTAL,66,11,83.3
Friday Utility Section 06-03-2026,Maverick Double cab,9,2,77.8
Friday Utility Section 06-03-2026,Toyota Landcruiser Minespec,33,4,87.9
Friday Utility Section 06-03-2026,Toyota Landcruiser,2,0,100.0
Friday Utility Section 06-03-2026,Toyota Hilux,2,1,50.0
Friday Utility Section 06-03-2026,Maverick Man lift,4,1,75.0
Friday Utility Section 06-03-2026,Placer dumper,1,0,100.0
Friday Utility Section 06-03-2026,Maverick king Cab c/w Crane,3,0,100.0
Friday Utility Section 06-03-2026,Maverick Single cab Jam Pot,1,0,100.0
Friday Utility Section 06-03-2026,Bird Machine,1,0,100.0
Friday Utility Section 06-03-2026,Bob Cat,2,0,100.0
Friday Utility Section 06-03-2026,Maverick King Cab NO Crane,2,0,100.0
Friday Utility Section 06-03-2026,ROROs,5,1,80.0
Friday Utility Section 06-03-2026,Maverick tropper,1,0,100.0
Friday Utility Section 06-03-2026,TOTAL,66,9,86.4
